ten,loai_dien_thoai,thoi_gian_bao_hanh,danh_gia,so_luong_binh_luan,duong_dan,mau_sac,gia_moi,gia_cu,he_dieu_hanh,cpu,ram,bo_nho_trong,dung_luong_pin,thiet_ke,hang_dien_thoai,la_dien_thoai_cu,kich_thuoc_man_hinh,tan_so_quet,do_sang_man_hinh,loai_man_hinh,so_the_sim,loai_pin,cong_suat_sac,do_phan_giai_cam_sau,do_phan_giai_cam_truoc
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Đỏ,4650000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Đỏ,5050000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Đen,4250000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Đen,4650000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Đen,5050000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Trắng,4250000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Trắng,4650000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
Điện thoại Xiaomi Redmi Note 13 Pro 5G (Snapdragon 7s Gen 2),Redmi,12,5.0,1162,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-13-pro-cau-hinh-manh.html,Trắng,5050000,5950000,Android 13,"Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm)
8 nhân (4x2.40 GHz & 4x1.95 GHz)
GPU: Adreno 710",8.0,128.0,5100.0,"Khung nhựa vuông vức
Mặt lưng kính
Kính trước Corning Gorilla Glass Victus
Cảm biến vân tay dưới màn hình
Kháng nước, bụi IP54",Xiaomi,false,6.67,120.0,500.0,AMOLED,2,Li-Po,67.0,"200.0,8.0,2.0",16.0
"Điện thoại Xiaomi Redmi Note 12 5G (Có tiếng Việt, Snapdragon 4 Gen 1)",Redmi,12,5.0,12,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-12-5g-snapdragon-4-gen-1.html,Xanh,2550000,3950000,Android 12,"Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm)
8 nhân (2x2.0 GHz & 6x1.8 GHz)
GPU: Adreno 619",4.0,128.0,5000.0,"Khung nhựa bo cong, mặt lưng nhựa cong
Kháng nước, bụi IP53
Cảm biến vân tay cạnh bên",Xiaomi,false,6.67,120.0,1200.0,OLED,2,Li-Po,33.0,"48.0,2.0",8.0
"Điện thoại Xiaomi Redmi Note 12 5G (Có tiếng Việt, Snapdragon 4 Gen 1)",Redmi,12,5.0,12,https://mobilecity.vn/dien-thoai/xiaomi-redmi-note-12-5g-snapdragon-4-gen-1.html,Xanh,2750000,3950000,Android 12,"Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm)
8 nhân (2x2.0 GHz & 6x1.8 GHz)
GPU: Adreno 619",4.0,128.0,5000.0,"Khung nhựa bo cong, mặt lưng nhựa cong
Kháng nước, bụi IP53
Cảm biến vân tay cạnh bên",Xiaomi,false,6.67,120.0,1200.0,OLED,2,Li-Po,33.0,"48.0,2.0",8.0
